,policy,category,fips,state,statename,year,month,day,adopted,ended
0,State of emergency issued,state_of_emergency,1,AL,Alabama,2020,03,13,1.0,True
51,State of emergency lifted,state_of_emergency,1,AL,Alabama,2021,07,06,0.0,True
1,State of emergency issued,state_of_emergency,2,AK,Alaska,2020,03,11,1.0,True
52,State of emergency lifted,state_of_emergency,2,AK,Alaska,2021,04,30,0.0,True
2,State of emergency issued,state_of_emergency,4,AZ,Arizona,2020,03,11,1.0,True
53,State of emergency lifted,state_of_emergency,4,AZ,Arizona,,,,0.0,True
3,State of emergency issued,state_of_emergency,5,AR,Arkansas,2020,03,11,1.0,True
54,State of emergency lifted,state_of_emergency,5,AR,Arkansas,2021,05,30,0.0,True
4,State of emergency issued,state_of_emergency,6,CA,California,2020,03,04,1.0,True
55,State of emergency lifted,state_of_emergency,6,CA,California,,,,0.0,True
5,State of emergency issued,state_of_emergency,8,CO,Colorado,2020,03,11,1.0,True
56,State of emergency lifted,state_of_emergency,8,CO,Colorado,2021,07,08,0.0,True
6,State of emergency issued,state_of_emergency,9,CT,Connecticut,2020,03,10,1.0,True
57,State of emergency lifted,state_of_emergency,9,CT,Connecticut,,,,0.0,True
7,State of emergency issued,state_of_emergency,10,DE,Delaware,2020,03,13,1.0,True
58,State of emergency lifted,state_of_emergency,10,DE,Delaware,2021,07,12,0.0,True
8,State of emergency issued,state_of_emergency,11,DC,District of Columbia,2020,03,11,1.0,True
59,State of emergency lifted,state_of_emergency,11,DC,District of Columbia,,,,0.0,True
9,State of emergency issued,state_of_emergency,12,FL,Florida,2020,03,09,1.0,True
60,State of emergency lifted,state_of_emergency,12,FL,Florida,2021,06,26,0.0,True
10,State of emergency issued,state_of_emergency,13,GA,Georgia,2020,03,14,1.0,True
61,State of emergency lifted,state_of_emergency,13,GA,Georgia,2021,07,01,0.0,True
11,State of emergency issued,state_of_emergency,15,HI,Hawaii,2020,03,04,1.0,True
62,State of emergency lifted,state_of_emergency,15,HI,Hawaii,,,,0.0,True
12,State of emergency issued,state_of_emergency,16,ID,Idaho,2020,03,13,1.0,True
63,State of emergency lifted,state_of_emergency,16,ID,Idaho,,,,0.0,True
